temp6_0,temp6_1,temp6_2,temp6_3
0.00000000,0.80212200,-0.18707043,0.00000000f
0.00000000,1.02304232,-0.24584560,0.00000000f
0.00000000,0.89451277,-0.39933252,0.00000000f
0.00000000,1.10232294,-0.29224661,0.00000000f
0.00000000,0.88506150,-0.36528188,0.00000000f
0.00000000,0.80440700,-0.44582179,0.00000000f
0.00000000,0.95490789,-0.26303357,0.00000000f
0.00000000,0.90029562,-0.18545136,0.00000000f
0.00000000,0.91656905,-0.26509902,0.00000000f
0.00000000,0.73611289,-0.42606360,0.00000000f
0.00000000,0.87758952,-0.30793533,0.00000000f
0.00000000,0.93762314,-0.35315192,0.00000000f
0.00000000,0.89244533,-0.30790514,0.00000000f
0.00000000,0.91991246,-0.42750907,0.00000000f
0.00000000,0.70356357,-0.45482826,0.00000000f
0.00000000,0.82777572,-0.18560328,0.00000000f
0.00000000,0.87352979,-0.29144877,0.00000000f
0.00000000,0.84929281,-0.17221276,0.00000000f
0.00000000,1.11435616,-0.17106983,0.00000000f
